evaluation_item_id,base_case_id,condition
EV-d267c50fa84ee519,emergency_er_symptom_ar_hsk5,C1_Full
EV-7eec07f6005cee9d,emergency_er_symptom_ar_hsk5,C2_NoAgent_Monolith
EV-ade5bf61fed7991d,emergency_er_symptom_ar_hsk5,C3_NoA3
EV-ce14801f9618060a,emergency_er_symptom_ar_hsk5,C4_NoA5
EV-4258e9b859bce38d,emergency_er_symptom_ar_hsk5,C5_NoA2A3
EV-db6af49d073b6124,emergency_er_symptom_ar_hsk5,C1_Full_r2
EV-fca4b7bb84120141,campus_classroom_leave_ja_hsk5,C1_Full
EV-4c39a8ad8483705b,campus_classroom_leave_ja_hsk5,C2_NoAgent_Monolith
EV-e207f6e067da4963,campus_classroom_leave_ja_hsk5,C3_NoA3
EV-4c6298234b336782,campus_classroom_leave_ja_hsk5,C4_NoA5
EV-819ea2bd93c26365,campus_classroom_leave_ja_hsk5,C5_NoA2A3
EV-f53ff90b680f94ea,campus_classroom_leave_ja_hsk5,C1_Full_r2
EV-44e742bfb8225f0a,housing_maintenance_report_fr_hsk3,C1_Full
EV-b7e9b7c3373f8cf0,housing_maintenance_report_fr_hsk3,C2_NoAgent_Monolith
EV-f712273a63c70743,housing_maintenance_report_fr_hsk3,C3_NoA3
EV-74fcf981854d2fa2,housing_maintenance_report_fr_hsk3,C4_NoA5
EV-30da5fe1e17f2536,housing_maintenance_report_fr_hsk3,C5_NoA2A3
EV-702ef75e3eb3b151,housing_maintenance_report_fr_hsk3,C1_Full_r2
EV-a1625b61df98e943,medical_pharmacy_otc_es_hsk3,C1_Full
EV-f997c852996d5b91,medical_pharmacy_otc_es_hsk3,C2_NoAgent_Monolith
EV-a7a4907273539a12,medical_pharmacy_otc_es_hsk3,C3_NoA3
EV-fa29eeeb3995728d,medical_pharmacy_otc_es_hsk3,C4_NoA5
EV-f79456213af10fe6,medical_pharmacy_otc_es_hsk3,C5_NoA2A3
EV-c4007888cce1a529,medical_pharmacy_otc_es_hsk3,C1_Full_r2
EV-1b120bb4a32685a8,daily_greet_basic_th_hsk3,C1_Full
EV-bb1d70548f11a757,daily_greet_basic_th_hsk3,C2_NoAgent_Monolith
EV-3f6c3d5b05e3eb17,daily_greet_basic_th_hsk3,C3_NoA3
EV-b73882d5ae04f19d,daily_greet_basic_th_hsk3,C4_NoA5
EV-1622f15411ab792b,daily_greet_basic_th_hsk3,C5_NoA2A3
EV-7adbe01b098eae19,daily_greet_basic_th_hsk3,C1_Full_r2
EV-b9802c046de81b40,family_gathering_serve_th_hsk5,C1_Full
EV-33991edfd9dbaec8,family_gathering_serve_th_hsk5,C2_NoAgent_Monolith
EV-16eac3368193510c,family_gathering_serve_th_hsk5,C3_NoA3
EV-027232ac1bbe66ec,family_gathering_serve_th_hsk5,C4_NoA5
EV-6a649203cba7f20c,family_gathering_serve_th_hsk5,C5_NoA2A3
EV-23273afa74db1d3d,family_gathering_serve_th_hsk5,C1_Full_r2
EV-c32f4f7857a2a7a7,food_street_order_en_hsk3,C1_Full
EV-0cdfc1f0c4e187be,food_street_order_en_hsk3,C2_NoAgent_Monolith
EV-c7d3cdf3371d5388,food_street_order_en_hsk3,C3_NoA3
EV-1e605febdcf4c7b9,food_street_order_en_hsk3,C4_NoA5
EV-96128cf724945277,food_street_order_en_hsk3,C5_NoA2A3
EV-f350426157f85717,food_street_order_en_hsk3,C1_Full_r2
EV-b50f0fe5fe9b6d59,travel_directions_basic_es_hsk5,C1_Full
EV-964eff06e8c7985e,travel_directions_basic_es_hsk5,C2_NoAgent_Monolith
EV-a7ec6a152c71b82f,travel_directions_basic_es_hsk5,C3_NoA3
EV-94ecd1ce19b1da36,travel_directions_basic_es_hsk5,C4_NoA5
EV-81d48dcf473adb5b,travel_directions_basic_es_hsk5,C5_NoA2A3
